あーいん	あーいん 〈合う〉【活】あーたん、あーらん、
にー すーら	にー すーら 〈根と梢〉 【例】やなむんば
にー ばい	にー ばい 〈根張り〉【活】にー ぢり〈根
にー	にー 〈音色〉 【例】さんしんぬ にー あぎ
にー びち	にー びち〈結婚式〉 【例】なままでー さ
にーしぇ	にーしぇ 〈⻘年〉 【例】ぶんぬ みっちゃ
にー ぢちゅん	にー ぢちゅん 〈根づく〉【活】〜ぢちゃ
にーぬふぁぬ みふし、にーぬふぁぶし	にーぬふぁぬ みふし、にーぬふぁぶし 〈北極星〉 【例】ゆる はらす 
にー ちらすん	にー ちらすん 〈根絶させる〉【活】〜ちら
にー ちりーん	にー ちりーん 〈根治する〉【活】〜ちりた
にーび	にーび 〈赤土の一種〉 【例】んかしぇー じ
にーびる／のーびる	にーびる／のーびる 〈のびる、ねびる〉
にー むちゅん	にー むちゅん 〈根にもつ〉【活】〜むっち
にーぶ	にーぶ 〈ひしゃく〉 【例】「にーぶ」んでぃ
にーいん	にーいん 〈煮える〉【活】にーたん、にーら
にーぶ がー	にーぶ がー 〈ひしゃくで直接汲める井戸〉
にーいん	にーいん 〈練る〉【活】にーたん、にーらん、
にーぶい	にーぶい 〈居眠り〉 【例】にっかまでぃ 
にーゆん	にーゆん 〈煮える〉【活】にーたん、にーら
にー くたー	にー くたー 〈煮過ぎてくたくたになって
にーぶい ぐさ	にーぶい ぐさ 〈オジギソウ〉 【例】にー
にー しぢーん	にー しぢーん 〈煮すぎる〉
にーぶい みー	にーぶい みー 〈眠たそうな目〉 【例】っ
にーぶい かーぶい すん	にーぶい かーぶい すん 〈こっくりこ
にーゆん	にーゆん 〈練る〉【活】にーたん、にーらん、
にがいん	にがいん 〈願う〉【活】にがたん、にがらん、
にーぶやー	にーぶやー 〈寝坊〉 【例】あれー にーぶ
にが ゆー	にが ゆー 〈凶年〉 【例】あみぬ ふいぢ
にーぶたー	にーぶたー 〈腫れ物〉 【例】んかしぇー 
にぐーにぐー すん	にぐーにぐー すん 〈ゆったりしてい
にぐとぅ	にぐとぅ 〈寝ごと〉 【例】うむくとぅどぅ
にーん／にゆん	にーん／にゆん 〈似る〉【活】にちゃん、に
にーん／にゆん	にーん／にゆん 〈煮る〉【活】にちゃん、に
にげー	にげー 〈祈り〉 【例】にげーどぅ しぇーう
にたかまんた	にたかまんた 〈似た者同士〉 【例】どぅ
にしーん	にしーん 〈似せる〉【活】にしたん、にしら
にち	にち 〈熱、温度〉 【例】にちぬ あみ？ に
にじーん	にじーん 〈がまんする〉【活】にじたん、にじ
にじ でー	にじ でー 〈忍耐力〉 【例】にじでーぬ 
にじー かんてぃー すん	にじー かんてぃー すん 〈がまんでき
にし ぶち	にし ぶち 〈北風〉 【例】うちなーをぅて
にぢーん	にぢーん 〈握る〉【活】にぢたん、にぢらん、
にぢり めー	にぢり めー 〈握り飯〉 【例】がっこー
にぢむん	にぢむん 〈つねる〉【活】にぢだん、にぢま
にじゃまさ すん	にじゃまさ すん 〈寝ぼける〉【活】〜さ
にぶ っんまり	にぶ っんまり 〈遅生まれ〉 【例】ふぇ
にじゃみ うどぅるち すん	にじゃみ うどぅるち すん 〈夢で
にりん	にり ん 〈飽きる〉【活】にりたん、にりらん、
にりがさがさ すん	にりがさがさ すん 〈食べ物に砂などが
にん	にん 〈年〉 【例】ちゅとぅ（１年）、たとぅ（２
にん とぅー	にん とぅー 〈年始〉 【例】あきまどぅし
にんぐる	にんぐる 〈愛人、情夫〉 【例】あれー と
にんじーん	にんじーん 〈念じる〉【活】にんじたん、に
にん	にん 〈念〉 【例】っやー しーよーや に
にん がきーん	にん がきーん 〈心がける、志す〉【活】〜が
にん ぐゎん	にん ぐゎん 〈念願〉 【例】アミリカーた
にんじ ぐとぅ	にんじ ぐとぅ 〈願いごと〉 【例】っやー
にんしーん	にんしーん 〈寝かす、放ったらかす〉【活】に
にん ぶとぅきー	にん ぶとぅきー 〈すべりひゆ〉 【例】に
にんぢ くげー	にんぢ くげー 〈寝返り〉 【例】っやーや
にん りち	にん りち〈念力〉 【例】めーなち にげー
にんぢ じゃま	にんぢ じゃま 〈寝相〉 【例】わらべー 
にんじゅ	にんじゅ 〈人数、一団〉 【例】ちかぐろー
にんじゅ あらたみ	にんじゅ あらたみ〈人数調査、人数確認〉
にんぢ ちげー	にんぢ ちげー 〈寝違い〉 【例】にんぢち
にんぢ ぢら	にんぢ ぢら 〈寝顔〉 【例】わらびぬ に
にんぢゃー っうぃーぢ	にんぢゃー っうぃーぢ 〈背泳〉 【例】
にんぢゅん	にんぢゅん 〈寝る〉【活】にんたん、にんだ
にんぢ はぎ	にんぢ はぎ 〈床ずれ〉 【例】ながわちゃ
にんぢ はな	にんぢ はな 〈寝入りばな〉 【例】にんぢ
にんぢ ふりーん	にんぢ ふりーん 〈爆睡する〉 【例】ゆな
にんぢ ぐくち	にんぢ ぐくち 〈寝心地〉 【例】「きしゃ
にんぢ やんぢゅん	にんぢ やんぢゅん 〈寝損なう〉【活】〜や
にんぢん	にんぢん 〈人間〉 【例】にんぢのー ちむ
ぬいん	ぬいん 〈塗る〉【活】ぬたん、ぬらん、ぬてぃ
ぬい	ぬい 〈糊〉 【例】ぬぬさーに ぬくやーめー
ぬー がな	ぬー がな 〈何か〉 【例】っやーや わん
ぬー ぐとぅ	ぬー ぐとぅ 〈何事〉 【例】ぬーぐとぅぬ
ぬい むん	ぬい むん〈塗りもの、漆器〉 【例】うちな
ぬいん	ぬいん 〈乗る〉【活】ぬたん、ぬらん、ぬてぃ
ぬーとぅ くぃーとー	ぬーとぅ くぃーとー〈詳細〉 【例】ぬー
ぬー ぬー	ぬー ぬー 〈何と何〉 【例】ぬーぬー こ
ぬーぬ さびん ねーらん	ぬーぬ さびん ねーらん 〈何の差し障
ぬーやー くぃーやー	ぬーやー くぃーやー 〈何やかや〉 【例】
ぬー	ぬー 〈何〉 【例】っちゅが ぬー さわん 
ぬーん くぃーん	ぬーん くぃーん 〈何もかも〉 【例】っち
ぬーる	ぬーる 〈神人〉 【例】ヌールんでぃ いーし
ぬーし	ぬーし 〈本人〉 【例】ぬーしんちょーん わ
ぬーじ	ぬーじ 〈虹〉 【例】わらび そーいに かぐ
ぬーでぃー	ぬーでぃー 〈喉〉
ぬーでぃー ぐーふー	ぬーでぃー ぐーふー 〈喉仏〉 【例】ぬ
ぬーでぃー ぢる	ぬーでぃー ぢる 〈声帯〉 【例】ぬーでぃ
ぬがーりーん	ぬがーりーん 〈逃れる〉 【参】「ぬぢゅん」
ぬがーらすん	(2019a;123,180–181 頁)。ぬがーらすん〈勘弁する、見逃す〉【活】ぬが
ぬかぐ	ぬかぐ 〈米や糠に発生する虫〉 【例】ぬーが
ぬぎーん	ぬぎーん 〈抜ける〉【活】ぬぎたん、ぬぎら
ぬぎーん	ぬぎーん 〈逃げる〉【活】ぬぎたん、ぬぎら
ぬーでぃー っわーぐゎー	ぬーでぃー っわーぐゎー 〈喉ちんこ〉
ぬぎ じこーい	ぬぎ じこーい 〈逃げ支度〉 【例】かとー
ぬーり	ぬーり 〈苔〉 【例】くむいんかい ほーとー
ぬく〜	ぬく〜〈暖か〉 【例】ぬくさん（暖かい）から
ぬく ぐに	ぬく ぐに 〈暖かい地方〉 【例】うちなー
ぬく どぅし	ぬく どぅし 〈暖冬の年〉 【例】ぬくぐに
ぬくいん	ぬくいん 〈残る〉【活】ぬくたん、ぬくらん、
ぬくい むん	ぬくい むん 〈残りもの〉 【例】なちぇー
ぬくたまいん	ぬくたまいん 〈暖まる〉【活】ぬくたまた
ぬくたみーん	ぬくたみーん 〈暖める〉【活】ぬくたみた
ぬくばーいん	ぬくばーいん 〈暖かくなる〉【活】ぬくばー
ぬぐいん	ぬぐいん 〈拭きとる〉【活】ぬぐたん、ぬぐら
ぬしーん	ぬしーん 〈載せる〉【活】ぬしたん、ぬしらん、
ぬしかいん	ぬしかいん 〈ちょっと顔を出す〉【活】ぬし
ぬくすん	ぬくすん 〈残す〉【活】ぬくちゃん、ぬくさん、
ぬしきーん	ぬしきーん 〈差し出す〉【活】ぬしきたん、
ぬぢふぁ	ぬぢふぁ 〈霊魂はずし〉 【例】ふるばかを
ぬち かぢり	ぬち かぢり 〈一生懸命〉 【例】っちゅに
ぬち がふー	ぬち がふー 〈命拾い〉 【例】まぎじこ 
ぬち かんぱー	ぬち かんぱー〈生き返ったような心地、命
ぬじゅむん	ぬじゅむん 〈望む〉【活】ぬじゅだん、ぬじ
ぬじゅみ	ぬじゅみ 〈望み〉 【例】っやー ぬじゅめ
ぬち ぐすい	ぬち ぐすい 〈非常においしいもの〉 【例】
ぬすどぅ	ぬすどぅ 〈どろぼう〉 【例】ぬすどぅんかい
ぬすむん	ぬすむん 〈盗む〉【活】ぬすだん、ぬすまん、
ぬち してぃ むん	ぬち してぃ むん 〈命をそまつにする
ぬち してぃ わじゃ	ぬち してぃ わじゃ 〈命がけの仕事〉
ぬち	ぬち 〈命〉 【例】うふぃぐゎー やてぃん 
ぬち ぢる	ぬち ぢる 〈命の弦〉 【例】しわぐとぅぬ
ぬち だしき	ぬち だしき 〈救命〉 【例】うみをぅてぃ
ぬち ちり ばたらち	ぬち ちり ばたらち 〈死にもの狂いで働
ぬちとぅ かくがー	ぬちとぅ かくがー〈命がけ〉 【例】いく
ぬち どぅくる	ぬち どぅくる 〈急所〉 【例】てぃー ち
ぬちぬ うや	ぬちぬ うや 〈命の恩人〉 【例】うぬ っ
ぬちぬ ぐすーじ	ぬちぬ ぐすーじ〈命拾いのお祝い〉 【例】
ぬちぬ しんたく	ぬちぬ しんたく 〈命の洗濯〉 【例】っち
ぬちゅん	ぬちゅん 〈貫く〉【活】ぬちゃん、ぬかん、ぬ
ぬち くるすん	ぬち くるすん〈刺し殺す〉【活】〜くるちゃ
ぬち ふぃち すん	ぬち ふぃち すん〈非難する〉 【例】ふ
ぬち むん	ぬち むん 〈刺繍〉 【例】はーいさーに 
ぬちゅん	ぬちゅん 〈募る〉【活】ぬちゃん、ぬかん、ぬ
ぬちゃーすん	ぬちゃーすん 〈持ち寄る〉【活】ぬちゃーち
ぬばすん	ぬばすん 〈延ばす、伸ばす〉【活】ぬばちゃん、
ぬち しん	ぬち しん 〈募金〉 【例】とーほくぬ う
ぬぢゅん	ぬぢゅん 〈抜きとる、追い抜く、撮る〉【活】
ぬばちりーん	ぬばちりーん 〈くたばる〉【活】〜ちりた
ぬぢゅん	ぬぢゅん 〈だます〉【活】ぬぢゃん、ぬがん、
ぬば ちり むん	ぬば ちり むん 〈だらしない者〉 【例】
ぬびーん／ぬぶん	ぬびーん／ぬぶん 〈伸びる、延びる、が
ぬぬ	ぬぬ 〈布〉 【例】んかしぬ っちょー どぅー
ぬばがいん	ぬばがいん 〈ちょっと顔を見せる〉【活】ぬ
ぬばがい かーぎ	ぬばがい かーぎ 〈ちっとも顔を見せない
ぬび	我慢しておくさ (といって足蹴りする)）。ぬび 〈寛容さ〉【活】ぬび でー〈抱擁力〉
ぬーび	ぬーび 〈（手足を伸ばして）くつろぐこと〉
ぬぶん	ぬぶん 〈伸びる〉【活】ぬだん、ぬばん、ぬで
ぬむん	ぬむん 〈飲む、受け入れる〉【活】ぬだん、ぬ
ぬびぬび	ぬびぬび 〈延び延びに〉 【例】どぅく い
ぬぶいん	ぬぶいん 〈登る、（中心地、中央に）向かう〉
ぬみ どぅし	ぬみ どぅし 〈飲み友だち〉 【例】とぅし
ぬみ みじ	ぬみ みじ 〈飲み水〉 【例】ぬみみじぇー
ぬぶいくだい すん	ぬぶいくだい すん 〈坂を上り下りす
ぬらいん	ぬらいん 〈叱る〉【活】ぬらたん、ぬららん、
ぬぶしーん	ぬぶしーん 〈のぼせる、夢中になる〉【活】ぬ
ぬるっくぃーん	ぬるっくぃーん 〈なまぬるくなる〉【活】
ぬるむん	ぬるむん 〈ぬるむ〉【活】ぬるだん、ぬるま
ぬるみーん	ぬるみーん 〈ぬるめる〉【活】ぬるみたん、ぬ
ねー	ねー 〈地震〉 【例】ねーぬ ゆとーたしが、あ
ねー	ねー 〈苗〉 【例】ゴーヤーん ナーベーラー
ねーいん	ねーいん 〈なえる〉【活】ねーたん、ねーら
ねーいん 	ねーいん  〈（話し手に）物をわたす、（相手
ねーぐー	ねーぐー 〈びっこ〉 【例】ねーぐーんねーっ
ねーとぅ けーとぅ	ねーとぅ けーとぅ 〈似合い、似たり寄
ねーび	ねーび 〈まね〉 【例】っちゅぬ ねーびっ
ねーん、ねーらん	ねーん、ねーらん 〈無い〉【活】ねーんた
〜ねーん	〜ねーん 〈〜してしまった〉 【例】メール
のーいん	のーいん 〈綱をなう〉【活】のーたん、のーら
のーすん	のーすん 〈直す〉【活】のーちゃん、のーさ
のーらすん	のーらすん 〈仕立て直す〉【活】のーらちゃ
のーいん	のーいん 〈直る〉【活】のーたん、のーらん、
のーたる	のーたる 〈当然の、ふさわしい〉 【例】っ
のーが	のーが 〈名誉〉 【例】うやふぁーふじぬ い
はーっ	はーっ 〈へえ〉 【例】はーっ、でーじ なと
はー	はー 〈⻭〉 【例】はーぬ むし くゎとーん。
はー かき むにー	はー かき むにー〈舌足らず〉 【例】は
はー もー	はー もー 〈⻭がないこと〉 【例】はーも
ばー	ばー 〈の、もの、ところ、時、わけ〉 【例】
はーい	はーい 〈針〉 【例】わったーや はーいぬ 
はーえー	はーえー 〈駆け足〉 【例】あったに あみ 
はーがー、ひゃーがー	はーがー、ひゃーがー 〈（車の）タイヤ〉
ばーき	ばーき 〈ざる、かご〉 【例】あら ばーき
ぱーらんくー	ぱーらんくー 〈太鼓の一種〉 【例】パー
はーりー／はーれー	はーりー／はーれー 〈爬龍船漕ぎ〉
はーち	はーち 〈鉢〉 【例】はなばーちんかい みじ
ばーばー	ばーばー 〈勢いよく燃えているさま〉 【例】
はいん	はいん 〈流れる、走る〉【活】はたん、はらん、
はーべーるー	はーべーるー 〈蝶〉 【例】はーべーるー
はらすん	はらすん 〈流す、走らせる〉【活】はらちゃ
はーや	はーや 〈柱〉 【例】んかしぇー みーぢん 
はいん	はいん 〈張る〉【活】はたん、はらん、はてぃ
はいん	はいん 〈貼る〉【活】はたん、はらん、はてぃ
はいん	はいん 〈下半身を露出する〉【活】はたん、は
まる ばい	まる ばい 〈下半身のまる出し〉
はかすん	はかすん 〈弁償させる〉【活】はかちゃん、は
はぎーん	はぎーん 〈剥ける〉【活】はぎたん、はぎら
はく	はく 〈箱〉 【例】ちゅはく、たはく、みはく、
ばさー	ばさー 〈芭蕉、芭蕉布〉 【例】くれー ばさ
はか	はか 〈墓〉 【例】かーみなくーばか／かーみぬ
ばさー ぢん	ばさー ぢん 〈芭蕉布の着物〉 【例】ばさ
はかいん	はかいん 〈計る〉【活】はかたん、はからん、
はかやー むし	はかやー むし 〈しゃくとり虫〉 【例】は
はかぐち	はかぐち 〈仕事のし始め〉 【例】くぬ わじ
ばさ ない	ばさ ない 〈バナナ〉 【例】ばさなえー 
はし	はし 〈橋、はしご〉 【例】やーぬ っうぃーん
はじ	はじ 〈恥〉 【例】はじ ちらー（恥知らず）。
はじ	はじ 〈はず、推測〉 【例】っやーん いちゅ
ばす／ばー	ばす／ばー 〈とき、際、わけ〉 【例】うぬ
はじち	はじち 〈入れ墨〉 【例】んかしぇー、うちな
はしる	はしる 〈開戸〉 【例】はしるぐち／とぅばし
はた	はた 〈端、そば〉 【例】うみばた（海端）、み
はしし	はしし 〈⻭茎〉 【例】ちゅくいばーぬ あた
はじまいん	はじまいん 〈始まる〉【活】はじみたん、は
はじみーん	はじみーん 〈始める〉【活】はじみたん、まじ
はたかいん	はたかいん 〈場所を取る〉【活】はたかたん、
はじゃきーん	はじゃきーん 〈〜しそこなう〉【活】はじ
はたらちゅん	はたらちゅん 〈働く〉 【例】はたらちゅ
はだ むち	はだ むち 〈肌心地〉 【例】うちなーや 
はちか そーぐゎち	はちか そーぐゎち 〈沖縄の正月の最終
ばち	ばち 〈罰〉 【例】やなぐとぅ しーねー、ばち
ばち くゎいん	ばち くゎいん 〈幸運である〉【活】〜くゎ
ぱちみかすん	ぱちみかすん 〈パチンと音をたてる〉【活】
ばち	ばち 〈（太鼓やどらを）打つ棒〉 【例】てーく
はち〜	はち〜〈初〉 【例】はちあっちー（初歩き）、
はちゃー	はちゃー 〈蜂〉 【例】はちゃーんかい さ
はちゅん／はきーん	はちゅん／はきーん 〈掛ける〉【活】はち
はぢーん／はぢゅん	はぢーん／はぢゅん 〈脱ぐ〉【活】はぢ
はちゅん	はちゅん 〈吐く〉【活】はちゃん、はかん、は
はちゃい ふぃっちゃい	はちゃい ふぃっちゃい 〈吐いたり下し
はちゅん	はちゅん 〈発つ、逝く〉【活】はちゃん、はた
はぢゅん	はぢゅん 〈配る〉【活】はぢゃん、はがん、は
はぢゅん	はぢゅん 〈船を造る〉【活】はぢゃん、はが
ぱったり げーやー すん	ぱったり げーやー すん 〈パタパ
はちゅん	はちゅん 〈弁償する〉【活】はちゃん、はか
はかすん	はかすん 〈弁償させる〉【活】はかちゃん、は
はっちりーん	はっちりーん 〈はじける〉【活】はっちり
はちゃ ぐみ	はちゃ ぐみ 〈もち米のおこし〉 【例】は
はっちりら ちりら すん	はっちりら ちりら すん 〈はちきれそ
はぢゅん	はぢゅん 〈剥ぐ〉【活】はぢゃん、はがん、は
はっちゃかいん	はっちゃかいん 〈出くわす〉【活】はっち
はっとぅ	はっとぅ 〈禁止〉 【例】っちゅぬ あちまい
はっぷがすん	はっぷがすん 〈吐き出す〉【活】はっぷがち
はてぃ	はてぃ 〈終わり、キリ〉 【例】あわりぬ 
はっぱいん	はっぱいん 〈大きく見開く〉【活】はっぱた
ばっぺー	ばっぺー 〈間違い〉 【例】みちばっぺー（道
はな	はな 〈鼻〉 【例】はな ふちゅん。（いびきをか
はながさ	はながさ 〈花笠〉 【例】はながさー をぅ
はな ふぃちゅん	はな ふぃちゅん〈くしゃみをする〉 【例】
はなすん	はなすん 〈離す〉【活】はなちゃん、はなさ
はなすん	はなすん 〈話す〉【活】はなちゃん、あなさ
はなし はんがく	はなし はんがく 〈話半学〉 【例】っちゅ
はな しち	はな しち 〈風邪（鼻が湿気ていること）〉
はな	はな 〈はじめ〉 【例】にーはな やくとぅ、ふ
はねーかすん	はねーかすん 〈盛り上げる〉【活】はねーか
はねーちゅん	はねーちゅん 〈盛り上がる〉【活】はねーち
はばかいん	はばかいん 〈広い場所をとる〉【活】はばか
はな	はな 〈花〉
はな あたい	はな あたい 〈花園〉 【例】やーぬ めー
はな いちー	はな いちー 〈花瓶〉 【例】はないちー 
ばばっくゎーすん	ばばっくゎーすん 〈ごまかす〉【活】ばば
はら	はら 〈方面、側〉 【例】あぬ はら（あっち
はら	はら 〈⺟方の親戚〉 【例】はら わかやー（⺟
はばちゅん	はばちゅん 〈はかどる、さばく、たいらげる〉
はらいん	はらいん 〈払う〉【活】はらたん、はらーん、
はぶ	はぶ 〈毒蛇〉 【例】ハブぬぐとぅ かくじぬ 
はらい めー	はらい めー 〈支払い〉 【例】はらいめー
はらすん	はらすん 〈流す、走らせる〉【活】はらちゃ
はまいん	はまいん 〈頑張る〉【活】はまたん、はまら
はらすん	はらすん 〈晴らす〉【活】はらちゃん、はらさ
はりーん	はりーん 〈晴れる〉【活】はりたん、はりら
はりーん	はりーん 〈腫れる〉【活】はりたん、はりら
ばんじ	ばんじ 〈さなか〉 【例】むぬ かどーる ば
ばりん	ばりん 〈たわし〉 【例】ふかから けーて
はんじょー すん	はんじょー すん 〈栄える〉【活】〜さ
はる	はる 〈耕地〉 【例】はる あっちゃー（農業従
はんすん	はんすん 〈はずす〉【活】はんちゃん、はんさ
はんち げーいん	はんち げーいん 〈はね返る〉【活】〜げー
はる	はる 〈墓〉 【例】はる まぶやー（墓で「ま
〜はんすん	〜はんすん 〈〜機会をうしなう〉【活】〜はん
はろーじ、っうぇーか はろーじ	はろーじ、っうぇーか はろーじ
はんぶぬー	はんぶぬー 〈半分、半丁〉 【例】とーほー
ばんみかすん	ばんみかすん 〈バタンと音をたてる、思い
はんた	はんた 〈端〉 【例】はんたゐー しーねー 
はんだま	はんだま 〈はるたま、水前寺菜〉 【例】は
はんちゅん	はんちゅん 〈はじく、まく〉【活】はんちゃ
はんめー	はんめー 〈ご飯〉 【例】っやー はんめー
はんでぃーん	はんでぃーん 〈ほどける〉【活】はんでぃた
びーちゃー	びーちゃー 〈もぐらの一種〉 【例】びーちゃ
びけー／びけーじ／びけーん／びかー	びけー／びけーじ／びけーん／びかー 〈だけ（限定）〉 【例】とぅーびけー
びじゅる／びんじゅる	びじゅる／びんじゅる 〈⻯宮の神が祭
ひゃーがいん	ひゃーがいん 〈干し上がる〉【活】ひゃーが
ひやみかすん	ひやみかすん 〈気合いを入れる〉【活】ひや
ひょーし	ひょーし 〈偶然、機会〉 【例】あま っんぢ
びちー	びちー 〈べき〉 【例】っやーや いーびちー
びら	びら 〈ネギ〉 【例】びらー ちぶるぬ をぅ
ひっくゎーすん	ひっくゎーすん 〈ひく〉【活】ひっくゎー
びんしー	びんしー 〈酒や水を入れる道具、瓶子〉 【例】
びんがた	びんがた 〈紅型〉 【例】びんがた ぢん 
ふいーてぃ	ふいーてぃ 〈不得意〉 【例】っちゅぬ 
ふいん	ふいん 〈降る〉【活】ふたん、ふらん、ふてぃ
ふいん	ふいん 〈掘る〉【活】ふたん、ふらん、ふてぃ
ふい っんぢゃすん	ふい っんぢゃすん 〈掘り出す〉【活】〜っ
ふい けーすん	ふい けーすん 〈（病気が）再び悪化する〉
ふー	ふー 〈幸運〉 【例】ぬーが やら あさから
ふー	ふー 〈穂〉 【例】っんにぬ ふーぬぐとぅ 
ふいん	ふいん 〈振る〉【活】ふたん、ふらん、ふてぃ
ふー、なれー	ふー、なれー 〈風習〉 【例】やーぬ／むら
ふー	ふー 〈帆〉 【例】ふーだかぶにぬ とーりや
ふー	ふー 〈はい〉 【例】しーじゃー しーじゃ 
ふーかさー	ふーかさー 〈ほら吹き〉 【例】あれー ふ
ふー	ふー 〈頬〉
ふー くぶー	ふー くぶー 〈頬くぼみ〉 【例】っやーや
ふー けーいん	ふー けーいん 〈ふくらむ〉【活】ふーけー
ふー けーらすん	ふー けーらすん 〈ふくらます〉【活】ふー
ふーち	ふーち 〈モグサ〉 【例】わらび そーいに 
ふーぢ	ふーぢ 〈流儀、風采〉 【例】くまー くまぬ
ふーぢー	ふーぢー 〈なりふり〉 【例】しんしー／い
ふーち ばー	ふーち ばー 〈ヨモギ〉 【例】んかしぇ
ふー ぢら	ふー ぢら 〈頬〉 【例】ゆちぐにぬ わら
ふー たい	ふー たい〈頬たれ〉【活】ふー たやー〈頬
ふーなー	ふーなー 〈ふり〉 【例】でぃきやー／しっ
ふーち	ふーち 〈流行病〉 【例】なま ふーちぬ ふ
ふかすん	ふかすん 〈沸かす〉【活】 ふかちゃん、ふか
ふかすん	ふかすん 〈（芋を）煮る、（まんじゅうを）蒸
ふーび	ふーび 〈褒美〉 【例】まるふぃーじーぬ う
ふがすん	ふがすん 〈穴をあける〉【活】ふがちゃん、ふ
ふーりんなー	ふーりんなー 〈ほうれん草〉 【例】ふー
ふか	ふか 〈外、他〉 【例】やー なれーどぅ ふか
ふぎーん	ふぎーん 〈穴があく〉【活】ふぎたん、ふぎら
ふかから ちやー	ふかから ちやー 〈外着〉 反意語は、やー
ぶかりー	ぶかりー 〈縁起が悪いこと〉 【例】あさん
ふく	ふく 〈肺〉 【例】ふくまーみ（心臓）、たき
ふぎ	ふぎ 〈欠損〉 【例】くんちちぇー ふげー 
ふきーん	ふきーん 〈さえずる〉【活】ふきたん、ふきら
ふぐい	ふぐい 〈ふぐり〉 【例】いん まやー ちか
ふくい	ふくい 〈ほこり〉 【例】ふくいぬ みーんか
ふきーん	ふきーん 〈くぐる〉【活】ふきたん、ふきら
ふくいん	ふくいん 〈喜ぶ〉【活】ふくたん、ふくらん、
ふきーん	ふきーん 〈老ける〉【活】ふきたん、ふきら
ぶくー	ぶくー 〈不器用〉 【例】ぶくーな むん（不
ふくぎー	ふくぎー 〈産毛〉 【例】なまぬ うぃきが
ふぐ すん	ふぐ すん 〈処分する〉【活】〜さん、〜さ
ふくっとぅ すん	ふ く っ と ぅ   す ん 〈不服な様をする〉
ふくたー	ふくたー 〈ボロ〉 【例】ちんぬ みーや 
ふくたー むし	ふくたー むし 〈みの虫〉 【例】くーばー
ふくぢ	ふくぢ 〈フクギ〉 【例】やーぬ まーいん
ふくふく すん	ふくふく すん 〈いい香りがする〉【活】〜
ふく まーみ	ふく まーみ 〈心臓〉 【例】ししぬ ふ
ふさ すん	ふさ すん 〈欲する〉【活】〜さん、〜さん、〜
ふくちち	ふくちち 〈悪臭を放つゴミ〉 【例】まやーぬ
ふさぢゅん	ふさぢゅん 〈ふさぐ〉【活】ふさぢゃん、ふ
ふし むん	ふし むん 〈干し物〉 【例】なまー ちん
ふす	ふす 〈へそ〉 【例】てんぶす（出べそ、突起
ふし	ふし 〈星、運気〉 【例】ななち ぶしぇー 
ふすく	ふすく 〈不足〉 【例】うぐゎん ぶすく（祈
ふし	ふし 〈節〉 【例】わん みーや ふしぬ み
ふだ いり	ふだ いり 〈投票〉 【参】いりーん。
ふちき	ふちき 〈繊維くず、髪のくず〉 【例】っやー
ふしぢゅん	ふしぢゅん 〈防ぐ〉【活】ふしぢゃん、ふし
ふすん	ふすん 〈干す〉【活】ふちゃん、ふさん、ふし
ぶちくん／ぶちげー	ぶちくん／ぶちげー 〈気を失いそうな状
ふちばんた	ふちばんた 〈断崖〉 【例】ふちばんたんか
ふちまー	ふちまー 〈さかき（榊）〉 【例】ふちまーや
ふちゅん	ふちゅん 〈沸く〉【活】ふちゃん、ふかん、ふ
ふちゃーいん	ふちゃーいん 〈生い茂る〉【活】ふちゃーた
ふちゃぎ	ふちゃぎ 〈あずきを表面にくっつけた餅〉
ふちゅん	ふちゅん 〈吹く〉【活】ふちゃん、ふかん、ふ
ふぢゅん	ふぢゅん 〈満足する〉【活】ふぢゃん、ふが
ぶちゅーい	ぶちゅーい 〈発育不良〉 【例】ぶちゅーい
ふちゅくる	ふちゅくる 〈懐〉 【例】うやぬ ふちゅく
ぶちりー	ぶちりー 〈不潔（人に対して用いる）〉 【例】
ふっくぃーん	ふっくぃーん 〈ふくれる〉【活】ふっくぃ
ふとぅふとぅー すん	ふとぅふとぅー すん 〈心配で震える〉
ぶったらー／ぶったらこー	ぶったらー／ぶったらこー 〈太いも
ふどぅ	ふどぅ 〈身体、身⻑〉 【例】ふどぅぬ まぎ
ぶってー	ぶってー 〈でぶ〉 【参】同義語として、く
ぶっとぅー	ぶっとぅー 〈でぶ、太いもの〉 【例】まー
ふとぅちゅん	ふとぅちゅん 〈ほどく〉【活】ふとぅちゃ
ふどぅーい	ふどぅーい 〈反対〉 【例】なまから あと
ふみかすん	ふみかすん 〈盛り上げる〉【活】ふみかちゃ
ふどぅふどぅ	ふどぅふどぅ 〈年頃〉 【例】いったー う
ふに	ふに 〈骨、茎〉 【例】ぐるくのー あんだんか
ふみちゅん	ふみちゅん 〈蒸し暑い〉【活】ふみちゃん、ふ
ふみち	ふみち 〈熱気〉 【例】うちなーぬ まふっく
ふみーん	ふみーん 〈ほめる〉【活】ふみたん、ふみら
ふゆー	ふゆー 〈怠け者〉 【例】ふゆー（怠け者）、ぬ
ふみ たっくゎすん	ふみ たっくゎすん 〈大げさにほめる〉
ふらきーん	ふらきーん 〈開ける〉【活】ふらきたん、ふ
ふりーん	ふりーん 〈惚れる〉【活】ふりたん、ふりらん、
ふらちゅん	ふらちゅん 〈開く、吹かす〉【活】ふらちゃ
ぶり〜	ぶり〜〈群〉
ぶり ぶし	ぶり ぶし 〈群星〉 【例】「てぃんぬ ぶ
